id path action_label start_act end_act start_frame end_frame
1 subject1/h1/0 16 0 61 0 449
2 subject1/h1/0 8 64 127 0 449
3 subject1/h1/0 27 133 255 0 449
4 subject1/h1/0 30 317 417 0 449
5 subject1/h1/1 13 0 48 0 642
6 subject1/h1/1 5 55 108 0 642
7 subject1/h1/1 18 109 268 0 642
8 subject1/h1/1 23 304 442 0 642
9 subject1/h1/1 21 496 625 0 642
10 subject1/h1/2 9 11 72 0 506
11 subject1/h1/2 1 79 169 0 506
12 subject1/h1/2 33 184 491 0 506
13 subject1/h1/3 11 0 49 0 928
14 subject1/h1/3 3 75 150 0 928
15 subject1/h1/3 17 156 241 0 928
16 subject1/h1/3 36 255 424 0 928
17 subject1/h1/3 11 425 485 0 928
18 subject1/h1/3 31 491 780 0 928
19 subject1/h1/3 3 789 833 0 928
20 subject1/h1/3 20 834 928 0 928
21 subject1/h1/4 15 0 48 0 586
22 subject1/h1/4 7 59 118 0 586
23 subject1/h1/4 19 122 210 0 586
24 subject1/h1/4 26 249 335 0 586
25 subject1/h1/4 22 418 586 0 586
26 subject1/h1/5 12 0 52 0 490
27 subject1/h1/5 4 67 111 0 490
28 subject1/h1/5 35 121 205 0 490
29 subject1/h1/5 12 225 283 0 490
30 subject1/h1/5 32 290 427 0 490
31 subject1/h1/5 4 442 484 0 490
32 subject1/h1/6 14 0 21 0 485
33 subject1/h1/6 6 35 107 0 485
34 subject1/h1/6 25 117 251 0 485
35 subject1/h1/6 29 348 459 0 485
36 subject1/h1/7 10 0 59 0 797
37 subject1/h1/7 2 79 129 0 797
38 subject1/h1/7 34 213 439 0 797
39 subject1/h1/7 24 461 542 0 797
40 subject1/h1/7 28 642 797 0 797
41 subject1/h2/0 16 0 58 0 399
42 subject1/h2/0 8 65 113 0 399
43 subject1/h2/0 27 114 186 0 399
44 subject1/h2/0 30 277 345 0 399
45 subject1/h2/1 13 0 41 0 684
46 subject1/h2/1 5 54 111 0 684
47 subject1/h2/1 18 121 237 0 684
48 subject1/h2/1 23 340 448 0 684
49 subject1/h2/1 21 519 672 0 684
50 subject1/h2/2 9 1 108 0 532
51 subject1/h2/2 1 132 225 0 532
52 subject1/h2/2 33 263 520 0 532
53 subject1/h2/3 11 0 52 0 893
54 subject1/h2/3 3 85 131 0 893
55 subject1/h2/3 17 137 218 0 893
56 subject1/h2/3 36 234 353 0 893
57 subject1/h2/3 11 356 427 0 893
58 subject1/h2/3 31 438 741 0 893
59 subject1/h2/3 3 744 801 0 893
60 subject1/h2/3 20 802 877 0 893
61 subject1/h2/4 15 0 54 0 544
62 subject1/h2/4 7 79 122 0 544
63 subject1/h2/4 19 131 201 0 544
64 subject1/h2/4 26 211 294 0 544
65 subject1/h2/4 22 386 544 0 544
66 subject1/h2/5 12 0 45 0 478
67 subject1/h2/5 4 64 115 0 478
68 subject1/h2/5 35 119 152 0 478
69 subject1/h2/5 12 154 190 0 478
70 subject1/h2/5 32 199 409 0 478
71 subject1/h2/5 4 429 478 0 478
72 subject1/h2/6 14 0 53 0 536
73 subject1/h2/6 6 64 116 0 536
74 subject1/h2/6 25 129 346 0 536
75 subject1/h2/6 29 418 530 0 536
76 subject1/h2/7 10 0 44 0 717
77 subject1/h2/7 2 56 122 0 717
78 subject1/h2/7 34 129 291 0 717
79 subject1/h2/7 24 339 402 0 717
80 subject1/h2/7 28 486 714 0 717
81 subject1/k1/0 16 16 67 0 350
82 subject1/k1/0 8 68 115 0 350
83 subject1/k1/0 27 116 208 0 350
84 subject1/k1/0 30 256 320 0 350
85 subject1/k1/1 13 0 62 0 753
86 subject1/k1/1 5 63 105 0 753
87 subject1/k1/1 18 106 280 0 753
88 subject1/k1/1 23 352 481 0 753
89 subject1/k1/1 21 543 732 0 753
90 subject1/k1/2 9 20 98 0 750
91 subject1/k1/2 1 124 189 0 750
92 subject1/k1/2 33 214 733 0 750
93 subject1/k1/3 11 0 55 0 775
94 subject1/k1/3 3 56 119 0 775
95 subject1/k1/3 17 127 209 0 775
96 subject1/k1/3 36 225 347 0 775
